Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-yiku,checkpoint-gn26,randomiser-2vg5,Randomise questionnaire elements?,Question Key,Response
27,1644856030963,14/02/2022 16:27:10,1644856028620,1,14/02/2022 17:27:08,73265,15,questionnaire-37ue,,19434304,BLIND,5767766,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x900,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,11-quantised,4
28,1644856030963,14/02/2022 16:27:10,1644856028620,1,14/02/2022 17:27:08,73265,15,questionnaire-37ue,,19434304,BLIND,5767766,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x900,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,12-quantised,5
29,1644856030963,14/02/2022 16:27:10,1644856028621,1,14/02/2022 17:27:08,73265,15,questionnaire-37ue,,19434304,BLIND,5767766,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x900,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,13-quantised,4
30,1644856030963,14/02/2022 16:27:10,1644856028621,1,14/02/2022 17:27:08,73265,15,questionnaire-37ue,,19434304,BLIND,5767766,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x900,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,END QUESTIONNAIRE,42008
1,1644866759860,14/02/2022 19:25:59,1644866759961,1,14/02/2022 20:25:59,73265,15,questionnaire-37ue,,19440723,BLIND,5769574,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1536x754,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,BEGIN QUESTIONNAIRE,
2,1644866812462,14/02/2022 19:26:52,1644866812628,1,14/02/2022 20:26:52,73265,15,questionnaire-37ue,,19440723,BLIND,5769574,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x754,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,0,8
3,1644866812554,14/02/2022 19:26:52,1644866812629,1,14/02/2022 20:26:52,73265,15,questionnaire-37ue,,19440723,BLIND,5769574,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x754,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,1,7
4,1644866812554,14/02/2022 19:26:52,1644866812629,1,14/02/2022 20:26:52,73265,15,questionnaire-37ue,,19440723,BLIND,5769574,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x754,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,2,7
5,1644866812554,14/02/2022 19:26:52,1644866812629,1,14/02/2022 20:26:52,73265,15,questionnaire-37ue,,19440723,BLIND,5769574,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x754,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,3,8
6,1644866812554,14/02/2022 19:26:52,1644866812629,1,14/02/2022 20:26:52,73265,15,questionnaire-37ue,,19440723,BLIND,5769574,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x754,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,4,7
7,1644866812554,14/02/2022 19:26:52,1644866812629,1,14/02/2022 20:26:52,73265,15,questionnaire-37ue,,19440723,BLIND,5769574,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x754,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,5,6
