Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-yiku,checkpoint-gn26,randomiser-2vg5,Randomise questionnaire elements?,Question Key,Response
27,1644934742719,15/02/2022 14:19:02,1644934742129,1,15/02/2022 15:19:02,73265,15,questionnaire-ty7a,,19461250,BLIND,5767622,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1280x720,1263x635,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,11-quantised,3
28,1644934742719,15/02/2022 14:19:02,1644934742129,1,15/02/2022 15:19:02,73265,15,questionnaire-ty7a,,19461250,BLIND,5767622,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1280x720,1263x635,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,12-quantised,6
29,1644934742719,15/02/2022 14:19:02,1644934742129,1,15/02/2022 15:19:02,73265,15,questionnaire-ty7a,,19461250,BLIND,5767622,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1280x720,1263x635,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,13-quantised,6
30,1644934742719,15/02/2022 14:19:02,1644934742129,1,15/02/2022 15:19:02,73265,15,questionnaire-ty7a,,19461250,BLIND,5767622,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1280x720,1263x635,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,END QUESTIONNAIRE,44565
1,1645024726793,16/02/2022 15:18:46,1645024726591,1,16/02/2022 16:18:46,73265,15,questionnaire-ty7a,,19498715,BLIND,5767691,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1920x1080,1920x1001,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,BEGIN QUESTIONNAIRE,
2,1645024755833,16/02/2022 15:19:15,1645024755640,1,16/02/2022 16:19:15,73265,15,questionnaire-ty7a,,19498715,BLIND,5767691,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1920x1080,1920x1001,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,0,5
3,1645024755925,16/02/2022 15:19:15,1645024755642,1,16/02/2022 16:19:15,73265,15,questionnaire-ty7a,,19498715,BLIND,5767691,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1920x1080,1920x1001,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,1,4
4,1645024755925,16/02/2022 15:19:15,1645024755642,1,16/02/2022 16:19:15,73265,15,questionnaire-ty7a,,19498715,BLIND,5767691,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1920x1080,1920x1001,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,2,5
5,1645024755925,16/02/2022 15:19:15,1645024755642,1,16/02/2022 16:19:15,73265,15,questionnaire-ty7a,,19498715,BLIND,5767691,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1920x1080,1920x1001,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,3,6
6,1645024755925,16/02/2022 15:19:15,1645024755642,1,16/02/2022 16:19:15,73265,15,questionnaire-ty7a,,19498715,BLIND,5767691,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1920x1080,1920x1001,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,4,5
